Empresa,Marca(s),Tipo,Localidad,Teléfono,Web,Tamaño,Estado,Contacto,Email,Notas
Automóviles Alhambra,Multimarca,Segunda mano,Madrid Capital / Majadahonda,,automovilesalhambra.es,Pyme,Prospecto,,,Más de 50 años. Dos concesiones.
Talleres Prizán,Opel,Concesionario oficial,Móstoles,,,Pyme,Prospecto,,,
Tramer Automoción S.L.,Lada,Concesionario oficial,Madrid Capital,,,Pyme,Prospecto,,,
Medina Motor S.L.,Lada,Concesionario oficial,Madrid Capital,,,Pyme,Prospecto,,,
Yerauto S.A.,SEAT,Concesionario oficial,Madrid Capital,,,Mediana,Prospecto,,,
Yamovil S.A.,Audi / Segunda mano,Concesionario / Ocasión,Madrid Capital,,yamovil.es,Grande,Prospecto,,,Uno de los mayores concesionarios segunda mano de Madrid
Volvo Car España S.L.,Volvo,Concesionario oficial,Madrid Capital,,volvocars.com,Grande,Referencia,,,Sede nacional
Going Green Madrid,Eléctricos,Venta coches,Madrid Capital,,,Pyme,Prospecto,,,Especialistas en vehículos eléctricos
Más Automóviles,Alfa Romeo / Fiat / Jeep,Concesionario oficial,Leganés,,,Mediana,Prospecto,,,Ciudad del Automóvil Leganés
M. Conde Premium,Audi,Concesionario oficial,Leganés / Madrid,,mconde.es,Grande,Prospecto,,,Parte del Grupo MCONDE (VW/Audi/SEAT/Skoda)
Momentum,BMW / MINI,Concesionario oficial,Leganés,,,Mediana,Prospecto,,,Ciudad del Automóvil Leganés
Autos Velasco,Citroën,Concesionario oficial,Leganés,,grupovelasco.es,Grande,Prospecto,,,Parte del Grupo Velasco (~400 empleados)
Changan Oriencar,Changan,Concesionario oficial,Leganés,,,Pyme,Prospecto,,,Marca china
Automoción Qualitauto,Dacia / Renault,Concesionario oficial,Leganés,,,Mediana,Prospecto,,,Ciudad del Automóvil Leganés
Canton Motor,Dongfeng / Xpeng,Concesionario oficial,Leganés,,,Pyme,Prospecto,,,Marcas chinas
Ebro Vehículos,Ebro,Concesionario oficial,Leganés,,,Pyme,Prospecto,,,Marca española relanzada
Marcos Automoción,Ford,Concesionario oficial,Leganés,,,Mediana,Prospecto,,,Ciudad del Automóvil Leganés
Sucar Motor,Honda,Concesionario oficial,Leganés,,,Pyme,Prospecto,,,Ciudad del Automóvil Leganés
Hyundai Cars Corea,Hyundai,Concesionario oficial,Leganés,,,Mediana,Prospecto,,,Ciudad del Automóvil Leganés
Selikar,Kia,Concesionario oficial,Leganés,,,Mediana,Prospecto,,,Ciudad del Automóvil Leganés
Lexus Madrid Sur,Lexus,Concesionario oficial,Leganés,,,Mediana,Prospecto,,,Ciudad del Automóvil Leganés
Kuroba Motor,Mazda,Concesionario oficial,Leganés,,,Pyme,Prospecto,,,Ciudad del Automóvil Leganés
Selimax,Maxus,Concesionario oficial,Leganés,,,Pyme,Prospecto,,,Ciudad del Automóvil Leganés
City Car Sur,Mercedes-Benz,Concesionario oficial,Leganés,,,Mediana,Prospecto,,,Ciudad del Automóvil Leganés
Albion Motor,MG,Concesionario oficial,Leganés,,,Pyme,Prospecto,,,Ciudad del Automóvil Leganés
Gamboa Automoción,Nissan,Concesionario oficial,Leganés,,grupogamboa.com,Mediana,Prospecto,,,Parte del Grupo Gamboa
Motor Naciente,Omoda / Jaecoo,Concesionario oficial,Leganés,,,Pyme,Prospecto,,,Marcas chinas
Gemóvil,Peugeot,Concesionario oficial,Leganés,,,Pyme,Prospecto,,,Ciudad del Automóvil Leganés
Surmoción,SEAT / Cupra,Concesionario oficial,Leganés,,,Mediana,Prospecto,,,Ciudad del Automóvil Leganés
Motor Pacífico,Skoda,Concesionario oficial,Leganés,,,Pyme,Prospecto,,,Ciudad del Automóvil Leganés
Suzuki Madrid,Suzuki,Concesionario oficial,Leganés,,,Pyme,Prospecto,,,Ciudad del Automóvil Leganés
Comauto Sur,Toyota,Concesionario oficial,Leganés,,,Mediana,Prospecto,,,Ciudad del Automóvil Leganés
M. Conde VW,Volkswagen,Concesionario oficial,Leganés,,mconde.es,Grande,Prospecto,,,Parte del Grupo MCONDE
Seliauto,Opel / Ebro,Concesionario oficial,Leganés,,,Mediana,Prospecto,,,Ciudad del Automóvil Leganés
Qualiauto (Grupo Bartolomé),Renault / Dacia,Concesionario oficial,Colmenar Viejo,,gbartolome.es,Grande,Prospecto,,,Grupo Bartolomé - Ciudad del Automóvil Norte
Mobility Centro (Grupo Bartolomé),Mercedes-Benz,Concesionario oficial,Colmenar Viejo,,mobilitycentro.com,Grande,Prospecto,,,Grupo Bartolomé - Ciudad del Automóvil Norte
Hersamotor (Grupo Bartolomé),Toyota,Concesionario oficial,Colmenar Viejo,,gbartolome.es,Grande,Prospecto,,,Grupo Bartolomé - Ciudad del Automóvil Norte
Aldauto (Grupo Bartolomé),Audi / Volkswagen / Skoda,Concesionario oficial,Colmenar Viejo,,gbartolome.es,Grande,Prospecto,,,Grupo Bartolomé - Ciudad del Automóvil Norte
Autotreca (Grupo Bartolomé),SEAT,Concesionario oficial,Colmenar Viejo,,gbartolome.es,Grande,Prospecto,,,Grupo Bartolomé - Ciudad del Automóvil Norte
Grupo Velasco,Citroën / Peugeot / Opel / DS / Leapmotor,Grupo multimarca,Fuenlabrada / Leganés / Alcorcón / Móstoles,,grupovelasco.es,Grande,Prospecto,,,~400 empleados. Desde 1970. Tienen RRHH en web.
Grupo Gamboa,Hyundai / Toyota / Nissan / Kia / Subaru / MG / Omoda,Grupo multimarca,Madrid (varios),,,Grande,Prospecto,,,Grupo líder distribución coches nuevos Madrid
Grupo Gil,Multimarca,Grupo multimarca,Madrid (varios),,grupogil.es,Grande,Prospecto,,,Desde 1981. Multimarca con varios puntos.
Grupo MCONDE,Volkswagen / Audi / SEAT / Skoda / Nissan / Lexus / Toyota,Grupo multimarca,Madrid (varios),,mconde.es,Grande,Prospecto,,,Gran grupo multimarca
Grupo Bartolomé,Renault / Mercedes / Toyota / Audi / VW / Skoda / SEAT,Grupo multimarca,Colmenar Viejo,,gbartolome.es,Grande,Prospecto,,,Sede M-607 km 28 - 912989008 - info@gbartolome.es
BYmyCAR Madrid,BMW / MINI / BMW Motorrad,Concesionario oficial,Las Tablas / Algete,,bymycar.madrid,Grande,Prospecto,,,Alianza franco-portuguesa. Varias instalaciones en Madrid.
Salvador Caetano,Multimarca,Grupo multimarca,Alcobendas,,caetano.es,Grande,Referencia,,,Grupo internacional. Sede española en Alcobendas.
Clicars,Multimarca,Segunda mano,Madrid,,clicars.com,Grande,Prospecto,,,Mayor concesionario segunda mano de Madrid. +1.000 coches en stock.
Autofesa,Multimarca,Segunda mano / Ocasión,Collado Villalba,,autofesa.com,Pyme,Prospecto,,,Líder zona noroeste Madrid
Canalcar,Multimarca,Segunda mano,Madrid,,canalcar.es,Mediana,Prospecto,,,Más de 50 años. Líder compraventa segunda mano en España.
MID CAR,Multimarca,Ocasión,Madrid,,,Pyme,Prospecto,,,Más de 15 años de experiencia
Autocarpe Concesionario SL,Multimarca,Venta coches,Madrid,,,Pyme,Prospecto,,,Ranking El Economista sector 4511
AUTOFERBAR,DFSK,Concesionario oficial,San Sebastián de los Reyes,,,Pyme,Prospecto,,,
ANTRAS MOTOR S.A.,DFSK,Concesionario oficial,Fuenlabrada,,,Pyme,Prospecto,,,
Autos Rueda Navarro,Ford,Concesionario oficial,Fuenlabrada,,,Pyme,Prospecto,,,
Automec,Mazda,Concesionario oficial,Alcobendas,,,Pyme,Prospecto,,,
Nascar,Multimarca,Venta coches,Alcobendas,,,Pyme,Prospecto,,,Avda. de Fuencarral 66
Arg Motor,Multimarca,Segunda mano,Alcobendas,,,Pyme,Prospecto,,,Pintor Velázquez 3
Quickmotor Madrid,Multimarca,Segunda mano,Alcobendas,,,Pyme,Prospecto,,,C/ Santa Isabel 3-5 Pol. Ind.
Turismos Madrid,Multimarca,Venta coches,Alcobendas,,,Pyme,Prospecto,,,Avda. de la Industria 7
Battinver,Multimarca,Segunda mano,Alcobendas,,,Pyme,Prospecto,,,C/ Sepúlveda 10
Industrias Sanher,Multimarca,Segunda mano,Móstoles,,,Pyme,Prospecto,,,C/ Orfebrería 7
Ascauto,Multimarca,Segunda mano,Móstoles,,,Pyme,Prospecto,,,C/ Simón Hernández 71
GR Motor,Multimarca,Venta coches,Alcalá de Henares,,,Pyme,Prospecto,,,A2 km 28.800 Pol. Ind. Mapfre
Autopremier Alcalá,Multimarca,Segunda mano,Alcalá de Henares,,,Pyme,Prospecto,,,Vía Complutense 97A
Vehinter,Multimarca,Venta coches,Getafe,,,Mediana,Prospecto,,,Ctra. Madrid-Toledo
Tibermotor Sur S.A.,Multimarca,Venta coches,Getafe,,,Mediana,Prospecto,,,Crta. Toledo A42 km 14.400
Grupo Reyes Automoción,Multimarca,Grupo multimarca,Madrid,,,Mediana,Prospecto,,,Listado en Empresite El Economista
Ciudad del Automóvil,+25 marcas oficiales,Hub concesionarios,Leganés,,ciudaddelautomovil.es,Grande,Referencia,,,Avda. Carlos Sáinz 2 - gerente@ciudaddelautomovil.es
